empire	id	km	percent	peak
Later Tang	Later_Tang	0.5	0.00873	923
Western Wei Dynasty	Western_Wei_Dynasty	0.5	0.00873	557
Liang Dynasty	Liang_Dynasty	0.5	0.00873	502
Empire of Harsha	Empire_of_Harsha	0.52	0.00906	625
Songhai Empire	Songhai_Empire	0.54	0.0094	1500
Neo-Assyrian Empire	Neo-Assyrian_Empire	0.54	0.0094	-670
Sur Empire	Sur_Empire	0.58	0.0101	1545
Tulunids Emirate	Tulunids_Emirate	0.58	0.0101	900
Idrisid dynasty, Morocco	Idrisid_dynasty_Morocco	0.58	0.0101	828
Northern Zhou Dynasty	Northern_Zhou_Dynasty	0.58	0.0101	577
Wu Dynasty	Wu_Dynasty	0.58	0.0101	221
Indo-Parthian Kingdom	Indo-Parthian_Kingdom	0.58	0.0101	50
Indo-Scythian Kingdom	Indo-Scythian_Kingdom	0.58	0.0101	-100
Nanda Dynasty	Nanda_Dynasty	0.58	0.0101	-350
Mamluk Sultanate	Mamluk_Sultanate	0.62	0.0107	1228
Buyid Sultanate	Buyid_Sultanate	0.62	0.0107	980
Rashtrakuta Dynasty	Rashtrakuta_Dynasty	0.66	0.0141	805
Sibir Khanate	Sibir_Khanate	0.69	0.0121	1520
Gurjara Pratihara	Gurjara_Pratihara	0.69	0.0121	860
Second Mexican Empire	Second_Mexican_Empire	0.77	0.0134	1864
Durrani Empire	Durrani_Empire	0.77	0.0134	1757
Inca Empire	Inca_Empire	0.77	0.0134	1527
Almohad dynasty, Morocco	Almohad_dynasty_Morocco	0.77	0.0134	1200
Saffarid dynasty	Saffarid_dynasty	0.77	0.0134	900
Northern Wei Dynasty	Northern_Wei_Dynasty	0.77	0.0134	450
Western Roman Empire	Western_Roman_Empire	0.77	0.0134	395
Former Qin Dynasty	Former_Qin_Dynasty	0.77	0.0134	376
Earlier Zhao Dynasty	Earlier_Zhao_Dynasty	0.77	0.0134	316
Wei Dynasty	Wei_Dynasty	0.77	0.0134	263
Satavahana Empire	Satavahana_Empire	0.77	0.0134	90
First French Empire	First_French_Empire	0.81	0.0141	1813
Burjiyya Mamluks	Burjiyya_Mamluks	0.81	0.0141	1400
Bahriyya Mamluks	Bahriyya_Mamluks	0.81	0.0141	1300
Southern Song Dynasty	Southern_Song_Dynasty	0.81	0.0141	1127
Kievan Rus	Kievan_Rus	0.81	0.0141	1000
Jurchen Jin Dynasty	Jurchen_Jin_Dynasty	0.89	0.0154	1126
Southern Qi Dynasty	Southern_Qi_Dynasty	0.89	0.0154	502
Belgian Empire	Belgian_Empire	0.97	0.0168	1914
Maratha Empire	Maratha_Empire	0.97	0.0168	1760
Hotaki Empire	Hotaki_Empire	0.97	0.0168	1722
Kara-Khitan Khanate Western Liao	Kara-Khitan_Khanate_Western_Liao	0.97	0.0168	1210
Later Zhao Dynasty	Later_Zhao_Dynasty	0.97	0.0168	329
Bactrian Empire	Bactrian_Empire	0.97	0.0168	184
Indo-Greek Yavana Kingdom	Indo-Greek_Yavana_Kingdom	0.97	0.0168	-150
Liao Dynasty	Liao_Dynasty	1	0.0175	947
Majapahit Empire	Majapahit_Empire	1.04	0.0181	1389
Khilji Dynasty	Khilji_Dynasty	1.04	0.0181	1312
Ayyubid Caliphate	Ayyubid_Caliphate	1.04	0.0077	1190
Gupta Empire	Gupta_Empire	1.05	0.039	400
Liu Song Dynasty	Liu_Song_Dynasty	1.08	0.0188	420
Eastern Jin Dynasty	Eastern_Jin_Dynasty	1.08	0.0188	347
Parthian Empire, Iran	Parthian_Empire_Iran	1.08	0.0188	1
Qin Dynasty	Qin_Dynasty	1.08	0.0188	-206
Median Empire, Iran	Median_Empire_Iran	1.08	0.0188	-585
Samanid Dynasty	Samanid_Dynasty	1.1	0.0191	928
Danish colonial empire	Danish_colonial_empire	1.16	0.0201	1800
Qajar Dynasty	Qajar_Dynasty	1.16	0.0201	1796
Afsharid Dynasty	Afsharid_Dynasty	1.16	0.0201	1738
Grand Duchy of Moscow	Grand_Duchy_of_Moscow	1.16	0.0201	1505
Kalmar Union	Kalmar_Union	1.16	0.0201	1397
Kara-Khanid Khanate	Kara-Khanid_Khanate	1.16	0.0201	1025
Khazar Khanate	Khazar_Khanate	1.16	0.0201	850
Uyghur Khaganate	Uyghur_Khaganate	1.2	0.0208	800
Sui Dynasty	Sui_Dynasty	1.2	0.0208	610
Tughlaq Dynasty	Tughlaq_Dynasty	1.24	0.0215	1320
Ghurids Sultanate	Ghurids_Sultanate	1.24	0.0215	1200
Almoravid dynasty, Morocco	Almoravid_dynasty_Morocco	1.27	0.0222	1147
Ghaznavid Empire, Iran	Ghaznavid_Empire_Iran	1.31	0.0228	1029
German Colonial Empire	German_Colonial_Empire	1.35	0.0235	1914
Safavid dynasty, Iran	Safavid_dynasty_Iran	1.35	0.0235	1512
Shaybanid Uzbek Dynasty	Shaybanid_Uzbek_Dynasty	1.35	0.0235	1510
Chagatai Khanate	Chagatai_Khanate	1.35	0.0235	1310
Northern Song Dynasty	Northern_Song_Dynasty	1.35	0.0235	1100
Byzantine Empire	Byzantine_Empire	1.35	0.0235	555
Western Jin Dynasty	Western_Jin_Dynasty	1.35	0.0235	300
Khwarazmian Empire	Khwarazmian_Empire	1.39	0.0242	1218
Chola Empire	Chola_Empire	1.39	0.0242	1050
Dutch Empire	Dutch_Empire	1.43	0.0248	1940
Ilkhanate	Ilkhanate	1.45	0.0252	1310
Italian Empire	Italian_Empire	1.47	0.0255	1940
Kushan Empire	Kushan_Empire	1.47	0.0255	200
Great Seljuq Empire	Great_Seljuq_Empire	1.51	0.0262	1080
Armenian Empire	Armenian_Empire	1.51	0.0262	-69
Seleucid Empire	Seleucid_Empire	1.51	0.0262	-301
Western Turks Khanate	Western_Turks_Khanate	1.54	0.0269	630
Eastern Turks Khanate	Eastern_Turks_Khanate	1.54	0.0269	624
Hephthalite Empire	Hephthalite_Empire	1.54	0.0269	490
Hunnic Empire	Hunnic_Empire	1.54	0.0269	441
Rouran Khaganate Juan-juan	Rouran_Khaganate_Juan-juan	1.54	0.0269	405
Xiongnu Empire	Xiongnu_Empire	1.56	0.0271	-176
Fatimid Caliphate	Fatimid_Caliphate	1.58	0.0275	969
Timurid Empire	Timurid_Empire	1.7	0.0295	1405
Pala Empire	Pala_Empire	1.78	0.0309	850
Tibetan Empire	Tibetan_Empire	1.78	0.0309	800
Xin Dynasty	Xin_Dynasty	1.82	0.0316	10
First Mexican Empire	First_Mexican_Empire	1.89	0.0329	1822
Mughal Empire	Mughal_Empire	1.93	0.0269	1707
Northern Yuan Dynasty, Mongolia	Northern_Yuan_Dynasty_Mongolia	1.93	0.0336	1550
Ottoman Empire	Ottoman_Empire	2	0.0349	1683
Tang Dynasty	Tang_Dynasty	2.01	0.0349	715
Macedonian Empire	Macedonian_Empire	2.01	0.0349	-323
Golden Horde Khanate	Golden_Horde_Khanate	2.32	0.0403	1310
Göktürk Khaganate	Göktürk_Khaganate	2.32	0.0403	557
Nazi Germany	Nazi_Germany	2.47	0.043	1942
Ming Dynasty	Ming_Dynasty	2.51	0.0436	1450
Roman Empire	Roman_Empire	2.51	0.0436	117
