Longcode	State	District	Stateabbrev	Rep	PVI	Simplecook	Cookrating	Party	Code	Score	urban	rural	ag	manufacturing	rich	poverty	white	nonwhite	black	hispanic	nonhispanicwhite	old
5001300US4836	Texas	36	TX	OPEN (Stockman)	R+25	Safe Rep	Solid Rep	Rep	TX-36	5	67.7	32.3	3.5	13.3	21.6	10.1	80.2	19.8	9.9	22	63.5	25.3
5001300US4901	Utah	1	UT	Rep. Rob Bishop	R+27	Safe Rep	Solid Rep	Rep	UT-01	5	85.5	14.5	3.2	13.9	21	8.8	89.2	10.8	0.9	12.1	82.3	18.3
5001300US4902	Utah	2	UT	Rep. Chris Stewart	R+18	Safe Rep	Solid Rep	Rep	UT-02	5	87	13	2.6	9.6	18.2	10.2	86.2	13.8	1.6	14.1	78.2	21.7
5001300US4903	Utah	3	UT	Rep. Jason Chaffetz	R+28	Safe Rep	Solid Rep	Rep	UT-03	5	93.7	6.3	1.5	8.5	25.1	9.4	91.2	8.8	0.5	10.2	83.5	18.1
5001300US4904	Utah	4	UT	OPEN (Matheson)	R+16	At-risk Dem	Tossup Dem	Dem	UT-04	8	96.1	3.9	1.3	10.7	20.4	10.1	85.7	14.3	1.5	16.7	75.2	16.4
5001300US5000	Vermont	0	VT	Rep. Peter Welch	D+16	Safe Dem	Solid Dem	Dem	VT-AL	11	38.9	61.1	2.6	10.9	19.4	7.4	95.1	4.9	1	1.6	94	30.9
5001300US5101	Virginia	1	VA	Rep. Rob Wittman	R+6	Safe Rep	Solid Rep	Rep	VA-01	5	69.5	30.5	0.8	5.7	36.1	6	73.8	26.2	17.3	9	67.6	24.7
5001300US5102	Virginia	2	VA	Rep. E. Scott Rigell	R+2	Safe Rep	Likely Rep	Rep	VA-02	4	92.6	7.4	0.7	8.1	23.4	9.2	66.7	33.3	21.6	7.2	62.2	23.7
5001300US5103	Virginia	3	VA	"Rep. Robert ""Bobby"" Scott"	D+27	Safe Dem	Solid Dem	Dem	VA-03	11	95	5	0.2	9.9	12.1	18.1	35.8	64.2	57.4	5.7	33.1	22.6
5001300US5104	Virginia	4	VA	Rep. J. Randy Forbes	R+4	Safe Rep	Solid Rep	Rep	VA-04	5	73.8	26.2	0.7	10	24.3	8.3	61.5	38.5	32.2	5.1	58.1	24.8
5001300US5105	Virginia	5	VA	Rep. Robert Hurt	R+5	Safe Rep	Solid Rep	Rep	VA-05	5	35.3	64.7	1.9	10.6	17.7	11.4	74.7	25.3	20.3	3.4	72.3	31.6
5001300US5106	Virginia	6	VA	Rep. Bob Goodlatte	R+12	Safe Rep	Solid Rep	Rep	VA-06	5	64.3	35.7	2.2	11.1	15.7	10.5	84.3	15.7	10.4	4.5	81.4	29.3
5001300US5107	Virginia	7	VA	Rep. Eric Cantor	R+10	Safe Rep	Solid Rep	Rep	VA-07	5	72.4	27.6	0.8	5.6	31.8	4.8	77.3	22.7	13.8	5.2	74.5	26.9
5001300US5108	Virginia	8	VA	OPEN (Moran)	D+16	Safe Dem	Solid Dem	Dem	VA-08	11	99.7	0.3	0.2	2.2	46.9	5.4	63.9	36.1	13	19	53.3	20.9
