Longcode	State	District	Stateabbrev	Rep	PVI	Simplecook	Cookrating	Party	Code	Score	urban	rural	ag	manufacturing	rich	poverty	white	nonwhite	black	hispanic	nonhispanicwhite	old
5001300US0625	California	25	CA	OPEN (McKeon)	R+3	Safe Rep	Likely Rep	Rep	CA-25	4	94.3	5.7	0.7	11.6	32.3	12.6	64.7	35.3	6.8	37.9	43.5	20
5001300US0626	California	26	CA	Rep. Julia Brownley	D+4	At-risk Dem	Lean Dem	Dem	CA-26	9	96.8	3.2	5.4	9.8	32.8	9.1	77.9	22.1	2.1	44.4	44.7	24.8
5001300US0627	California	27	CA	Rep. Judy Chu	D+11	Safe Dem	Solid Dem	Dem	CA-27	11	99.8	0.2	0.3	8.3	32.1	8.3	44.6	55.4	4.5	26.9	29.2	28.6
5001300US0628	California	28	CA	Rep. Adam Schiff	D+20	Safe Dem	Solid Dem	Dem	CA-28	11	99.9	0.1	0.2	6	26.2	11.7	68.1	31.9	2.9	28.1	53.6	25.3
5001300US0629	California	29	CA	Rep. Tony CÂrdenas	D+25	Safe Dem	Solid Dem	Dem	CA-29	11	100	0	0.7	9.8	15.8	20.5	62.3	37.7	4.3	67.7	18.2	19
5001300US0630	California	30	CA	Rep. Brad Sherman	D+14	Safe Dem	Solid Dem	Dem	CA-30	11	99.9	0.1	0.5	7.3	32.2	9.1	67.4	32.6	4.7	28.4	51	25.4
5001300US0631	California	31	CA	OPEN (Miller)	D+5	At-risk Rep	Tossup Rep	Rep	CA-31	2	99.4	0.6	0.5	9.8	21.2	17	60.4	39.6	9.9	52.1	27.4	18.9
5001300US0632	California	32	CA	Rep. Grace Napolitano	D+12	Safe Dem	Solid Dem	Dem	CA-32	11	100	0	0.7	12.5	22.9	12.4	51.4	48.6	2.8	62.3	17.4	22.5
5001300US0633	California	33	CA	OPEN (Waxman)	D+11	Safe Dem	Solid Dem	Dem	CA-33	11	98.1	1.9	0.1	9.7	47.3	4.6	76.4	23.6	2.8	11.7	67.8	28.5
5001300US0634	California	34	CA	Rep. Xavier Becerra	D+30	Safe Dem	Solid Dem	Dem	CA-34	11	100	0	0.4	12	11.2	25.8	34	66	4.2	65.7	10	20.8
5001300US0635	California	35	CA	OPEN (Negrete McLeod)	D+15	Safe Dem	Solid Dem	Dem	CA-35	11	99.7	0.3	0.8	15.1	17.3	14.9	57.1	42.9	6.8	69.8	15.5	17
5001300US0636	California	36	CA	Rep. Raul Ruiz	R+1	At-risk Dem	Tossup Dem	Dem	CA-36	8	91.8	8.2	3.5	5.3	16.9	17.2	64.7	35.3	4.5	46.5	43.1	30.6
5001300US0637	California	37	CA	Rep. Karen Bass	D+34	Safe Dem	Solid Dem	Dem	CA-37	11	100	0	0.2	5.5	22	18.3	39.2	60.8	26	35.2	25.2	22.7
5001300US0638	California	38	CA	Rep. Linda SÂnchez	D+12	Safe Dem	Solid Dem	Dem	CA-38	11	100	0	0.5	13.7	25.6	10.2	56	44	4.5	60.5	17.4	23.4
5001300US0639	California	39	CA	Rep. Ed Royce	R+5	Safe Rep	Solid Rep	Rep	CA-39	5	99.4	0.6	0.4	13.2	35.1	7.3	54.3	45.7	1.8	32.6	32.3	25.6
5001300US0640	California	40	CA	Rep. Lucille Roybal-Allard	D+29	Safe Dem	Solid Dem	Dem	CA-40	11	100	0	0.9	19.2	9.9	26.8	53.8	46.2	4.9	87.1	5.3	15.9
5001300US0641	California	41	CA	Rep. Mark Takano	D+9	Safe Dem	Solid Dem	Dem	CA-41	11	98.7	1.3	1.1	11.5	18.7	17.7	59.5	40.5	9.3	58.3	24.9	17.8
5001300US0642	California	42	CA	Rep. Ken Calvert	R+10	Safe Rep	Solid Rep	Rep	CA-42	5	95.2	4.8	1	11.2	28.2	8.5	71.4	28.6	5.2	37.7	45.1	20.5
5001300US0643	California	43	CA	Rep. Maxine Waters	D+26	Safe Dem	Solid Dem	Dem	CA-43	11	100	0	0.3	10.7	18.1	17.7	36.6	63.4	23.9	46.9	14.4	20.6
5001300US0644	California	44	CA	Rep. Janice Hahn	D+32	Safe Dem	Solid Dem	Dem	CA-44	11	100	0	0.5	14.2	15.2	22.5	41.7	58.3	15.2	70.9	6.8	17.1
5001300US0645	California	45	CA	OPEN (Campbell)	R+7	Safe Rep	Solid Rep	Rep	CA-45	5	99.6	0.4	0.2	12	45.1	5.2	64.3	35.7	1.7	18.6	53.3	24.4
5001300US0646	California	46	CA	Rep. Loretta SÂnchez	D+9	Safe Dem	Solid Dem	Dem	CA-46	11	100	0	0.7	13.9	19.7	17	60.2	39.8	1.7	66.4	19.3	16.2
5001300US0647	California	47	CA	Rep. Alan Lowenthal	D+8	Safe Dem	Solid Dem	Dem	CA-47	11	99.9	0.1	0.5	11.5	24.4	15.6	56.1	43.9	7.3	34.6	32.7	23.3
5001300US0648	California	48	CA	Rep. Dana Rohrabacher	R+7	Safe Rep	Solid Rep	Rep	CA-48	5	100	0	0.4	11.6	39.4	7.4	68.8	31.2	1	21.2	57.1	27.9
5001300US0649	California	49	CA	Rep. Darrell Issa	R+4	Safe Rep	Solid Rep	Rep	CA-49	5	98.6	1.4	1.2	10.8	35.2	9.1	76.8	23.2	2.4	27.2	61.2	25.1
5001300US0650	California	50	CA	Rep. Duncan Duane Hunter	R+14	Safe Rep	Solid Rep	Rep	CA-50	5	89.4	10.6	2.4	9.5	24.4	13.1	80.6	19.4	2.7	28.4	60.4	25.1
5001300US0651	California	51	CA	Rep. Juan Vargas	D+16	Safe Dem	Solid Dem	Dem	CA-51	11	93.9	6.1	2.3	7.9	12.2	22.5	65.1	34.9	6.9	68.6	13.7	19.1
5001300US0652	California	52	CA	Rep. Scott Peters	D+2	At-risk Dem	Tossup Dem	Dem	CA-52	8	99.5	0.5	0.3	11.3	40.2	4.1	69.4	30.6	3.1	13.7	59.5	24.4
5001300US0653	California	53	CA	Rep. Susan Davis	D+10	Safe Dem	Solid Dem	Dem	CA-53	11	99.7	0.3	0.4	6.5	25.1	9.6	65.7	34.3	8.4	33.4	41.3	21.8
5001300US0801	Colorado	1	CO	Rep. Diana DeGette	D+18	Safe Dem	Solid Dem	Dem	CO-01	11	100	0	1.1	5.7	23.1	13.3	77.6	22.4	9	28.3	57.1	21.8
5001300US0802	Colorado	2	CO	Rep. Jared Polis	D+8	Safe Dem	Solid Dem	Dem	CO-02	11	81	19	2.4	8.7	31.5	5.6	90.4	9.6	0.7	9.8	84	25.8
5001300US0803	Colorado	3	CO	Rep. Scott Tipton	R+5	Safe Rep	Solid Rep	Rep	CO-03	5	64.7	35.3	5.5	4.7	15.8	11.7	87.5	12.5	1.1	24.4	71.2	29.3
5001300US0804	Colorado	4	CO	Rep. Cory Gardner	R+11	Safe Rep	Solid Rep	Rep	CO-04	5	72.9	27.1	5.6	8.8	26.1	8.8	88.7	11.3	1.6	21.8	72.9	23.4
5001300US0805	Colorado	5	CO	Rep. Doug Lamborn	R+13	Safe Rep	Solid Rep	Rep	CO-05	5	86.4	13.6	1.4	6.5	22.1	9.5	83	17	6	14.9	72.8	23.7
5001300US0806	Colorado	6	CO	Rep. Mike Coffman	D+1	At-risk Rep	Tossup Rep	Rep	CO-06	2	98.5	1.5	1.5	6.7	29.4	7.9	76.2	23.8	9.5	20.1	62.5	21.9
5001300US0807	Colorado	7	CO	Rep. Ed Perlmutter	D+5	Safe Dem	Solid Dem	Dem	CO-07	11	99.4	0.6	1.4	8.5	22.4	8.8	87.4	12.6	1.2	27.6	65.5	23.4
5001300US0901	Connecticut	1	CT	Rep. John Larson	D+13	Safe Dem	Solid Dem	Dem	CT-01	11	93.9	6.1	0.2	10.9	28.7	8.8	72.7	27.3	15.1	15.1	63.8	28.7
5001300US0902	Connecticut	2	CT	Rep. Joe Courtney	D+5	Safe Dem	Solid Dem	Dem	CT-02	11	67.8	32.2	0.9	12.1	32.4	5.4	87.9	12.1	3.7	7.3	83.4	28.5
5001300US0903	Connecticut	3	CT	Rep. Rosa DeLauro	D+11	Safe Dem	Solid Dem	Dem	CT-03	11	96.7	3.3	0.2	11.2	27.8	9.7	75.2	24.8	13.3	13.3	67.5	27.7
5001300US0904	Connecticut	4	CT	Rep. Jim Himes	D+5	Safe Dem	Solid Dem	Dem	CT-04	11	95.8	4.2	0.2	7.5	43.6	7.2	73.9	26.1	12.2	18.6	63.3	26.1
5001300US0905	Connecticut	5	CT	Rep. Elizabeth Esty	D+3	Safe Dem	Likely Dem	Dem	CT-05	10	85.8	14.2	0.5	12.1	30.6	8.3	81.1	18.9	6.7	16.6	72.3	28
5001300US1000	Delaware	0	DE	Rep. John Carney	D+8	Safe Dem	Solid Dem	Dem	DE-AL	11	83.3	16.7	1.2	9.4	24.1	8.2	69.7	30.3	21.5	8.6	64.3	28.2
5001300US1201	Florida	1	FL	Rep. Jeff Miller	R+21	Safe Rep	Solid Rep	Rep	FL-01	5	82.1	17.9	1.2	4.9	16.1	11.2	77.3	22.7	13.1	5.8	74.2	27.4
5001300US1202	Florida	2	FL	Rep. Steve Southerland	R+6	At-risk Rep	Lean Rep	Rep	FL-02	3	65.7	34.3	1.5	4.1	14.5	12.1	69	31	24.8	5.7	65.2	25.9
5001300US1203	Florida	3	FL	Rep. Ted Yoho	R+14	Safe Rep	Solid Rep	Rep	FL-03	5	56.4	43.6	2.7	4.6	14.5	13.2	78.9	21.1	13.4	8.5	72.8	28.5
5001300US1204	Florida	4	FL	Rep. Ander Crenshaw	R+19	Safe Rep	Solid Rep	Rep	FL-04	5	89.6	10.4	0.4	5.8	20.3	9.8	77.6	22.4	13.1	8.3	71.3	26.1
5001300US1205	Florida	5	FL	Rep. Corrine Brown	D+21	Safe Dem	Solid Dem	Dem	FL-05	11	92.2	7.8	0.7	5.3	7.5	23	38.8	61.2	52.2	12.2	31.2	22.6
5001300US1206	Florida	6	FL	Rep. Ron DeSantis	R+9	Safe Rep	Solid Rep	Rep	FL-06	5	81.7	18.3	1.1	5.9	16.9	11.7	83.4	16.6	10.6	6.8	79.1	37.1
5001300US1207	Florida	7	FL	Rep. John Mica	R+4	Safe Rep	Solid Rep	Rep	FL-07	5	96.7	3.3	0.3	5.3	20.8	10.1	82	18	9	20.3	65.9	25.7
5001300US1208	Florida	8	FL	Rep. Bill Posey	R+9	Safe Rep	Solid Rep	Rep	FL-08	5	94.1	5.9	0.9	10.2	17	10.7	83.7	16.3	9.9	9.6	76.4	37.1
5001300US1209	Florida	9	FL	Rep. Alan Grayson	D+8	Safe Dem	Solid Dem	Dem	FL-09	11	93.9	6.1	0.4	4.5	12.4	15.7	75.4	24.6	11.8	46.4	37.1	21.7
5001300US1210	Florida	10	FL	Rep. Dan Webster	R+6	Safe Rep	Likely Rep	Rep	FL-10	4	91.8	8.2	1	4.2	17.7	11.4	77.2	22.8	11.9	17.1	65.6	29.5
5001300US1211	Florida	11	FL	Rep. Richard Nugent	R+11	Safe Rep	Solid Rep	Rep	FL-11	5	73.9	26.1	1	6.4	9.5	12.4	87.1	12.9	8.7	8.8	79.7	46.6
5001300US1212	Florida	12	FL	Rep. Gus Bilirakis	R+7	Safe Rep	Solid Rep	Rep	FL-12	5	92.8	7.2	0.5	5.8	19.2	8.3	88.6	11.4	4.4	11.9	79.1	35.1
5001300US1213	Florida	13	FL	VACANT (Young)	R+2	At-risk Rep	Tossup Rep	Rep	FL-13	2	100	0	0.5	7.9	16.7	9.2	87.1	12.9	5.8	9.3	79.1	37.7
5001300US1214	Florida	14	FL	Rep. Kathy Castor	D+13	Safe Dem	Solid Dem	Dem	FL-14	11	99.7	0.3	0.5	5.3	14.1	19.7	63.9	36.1	25.9	29.6	40.7	22.7
5001300US1215	Florida	15	FL	Rep. Dennis Ross	R+6	Safe Rep	Solid Rep	Rep	FL-15	5	93.9	6.1	1.7	5.4	17.6	11.4	77.4	22.6	13.3	17	64.3	26.2
5001300US1216	Florida	16	FL	Rep. Vern Buchanan	R+6	Safe Rep	Solid Rep	Rep	FL-16	5	95.8	4.2	1.1	7.4	17.8	9.4	88.4	11.6	6.7	11.6	78.5	43.7
5001300US1217	Florida	17	FL	Rep. Tom Rooney	R+10	Safe Rep	Solid Rep	Rep	FL-17	5	78.1	21.9	5.9	5	12.3	12.4	85.4	14.6	9.1	16.8	70.9	39
5001300US1218	Florida	18	FL	Rep. Patrick Murphy	R+3	At-risk Dem	Tossup Dem	Dem	FL-18	8	96.4	3.6	0.9	5.1	22.3	10	81	19	12.1	14.9	69.7	37.1
5001300US1219	Florida	19	FL	VACANT (Radel)	R+12	Safe Rep	Solid Rep	Rep	FL-19	5	96.3	3.7	0.7	3.1	19.5	9.1	86.1	13.9	7.7	17.4	72.1	41.8
5001300US1220	Florida	20	FL	Rep. Alcee Hastings	D+29	Safe Dem	Solid Dem	Dem	FL-20	11	98.5	1.5	1.8	3.9	9.4	19.1	39	61	53.4	19.5	23.9	24.3
5001300US1221	Florida	21	FL	Rep. Ted Deutch	D+10	Safe Dem	Solid Dem	Dem	FL-21	11	99.4	0.6	0.3	4.2	24.7	8.4	79.5	20.5	12.2	20.9	61.8	34.3
5001300US1222	Florida	22	FL	Rep. Lois Frankel	D+3	Safe Dem	Solid Dem	Dem	FL-22	11	100	0	1.2	4.9	23.7	10	81.4	18.6	11.3	21.7	63.1	34.9
5001300US1223	Florida	23	FL	Rep. Debbie Wasserman Schultz	D+9	Safe Dem	Solid Dem	Dem	FL-23	11	100	0	0.2	5	24.6	11.2	75.8	24.2	11.2	38.1	45.7	28.3
5001300US1224	Florida	24	FL	Rep. Frederica Wilson	D+34	Safe Dem	Solid Dem	Dem	FL-24	11	100	0	0.3	3.8	11.7	22.2	38.8	61.2	55.2	31.5	13.3	21.5
5001300US1225	Florida	25	FL	Rep. Mario Diaz-Balart	R+5	Safe Rep	Solid Rep	Rep	FL-25	5	95	5	1.7	7.1	16.8	13.9	87.4	12.6	7.5	71.8	19.3	25.7
5001300US1226	Florida	26	FL	Rep. Joe Garcia	R+1	At-risk Dem	Tossup Dem	Dem	FL-26	8	97.7	2.3	2.4	3.4	19.7	13.4	85.1	14.9	9.9	68.5	19.6	27.1
5001300US1227	Florida	27	FL	Rep. Ileana Ros-Lehtinen	R+2	Safe Rep	Solid Rep	Rep	FL-27	5	100	0	0.7	4.8	20.3	17.1	87.4	12.6	8	72	19.4	28.9
5001300US1301	Georgia	1	GA	OPEN (Kingston)	R+9	Safe Rep	Solid Rep	Rep	GA-01	5	71	29	1.3	9.8	15.2	14.3	63.5	36.5	29.7	6.7	59.9	23.5
5001300US1302	Georgia	2	GA	Rep. Sanford Bishop	D+6	Safe Dem	Solid Dem	Dem	GA-02	11	65.8	34.2	3.3	10.7	9.4	22.3	43.2	56.8	51.5	4.4	41.4	25.2
5001300US1303	Georgia	3	GA	Rep. Lynn Westmoreland	R+19	Safe Rep	Solid Rep	Rep	GA-03	5	60.5	39.5	0.9	14.7	19.7	13.2	71	29	23.4	5.5	67.2	25.2
5001300US1304	Georgia	4	GA	"Rep. Henry ""Hank"" Johnson"	D+21	Safe Dem	Solid Dem	Dem	GA-04	11	96.1	3.9	0.3	8.3	15.8	16.9	31.3	68.7	59	8.3	27	20.9
5001300US1305	Georgia	5	GA	Rep. John Lewis	D+32	Safe Dem	Solid Dem	Dem	GA-05	11	100	0	0.1	6	19.4	21.7	32.4	67.6	59.3	7.6	28.3	19.2
5001300US1306	Georgia	6	GA	Rep. Tom Price	R+14	Safe Rep	Solid Rep	Rep	GA-06	5	99.8	0.2	0.1	8	38.3	7.5	71.5	28.5	12.5	12.3	63.4	21.8
5001300US1307	Georgia	7	GA	Rep. Rob Woodall	R+14	Safe Rep	Solid Rep	Rep	GA-07	5	99.5	0.5	0.2	9.7	29.5	10.8	57.4	42.6	18.8	19.7	47.7	18
5001300US1308	Georgia	8	GA	Rep. Austin Scott	R+15	Safe Rep	Solid Rep	Rep	GA-08	5	56.7	43.3	3.1	9.3	13.8	17.5	64.1	35.9	30.5	6.3	60.3	25
5001300US1309	Georgia	9	GA	Rep. Doug Collins	R+30	Safe Rep	Solid Rep	Rep	GA-09	5	42.7	57.3	1.8	16.6	14.3	14.7	86.5	13.5	6.9	12	78.8	28.5
5001300US1310	Georgia	10	GA	OPEN (Broun)	R+14	Safe Rep	Solid Rep	Rep	GA-10	5	56	44	1.7	10.8	16.8	12.8	69.6	30.4	24.7	5.8	65.9	24.2
5001300US1311	Georgia	11	GA	OPEN (Gingrey)	R+19	Safe Rep	Solid Rep	Rep	GA-11	5	89.4	10.6	0.6	10.7	27.2	10.1	75.4	24.6	15.6	11.6	68.3	20.9
5001300US1312	Georgia	12	GA	Rep. John Barrow	R+9	At-risk Dem	Lean Dem	Dem	GA-12	9	60	40	2.5	11.3	12.9	19.4	59.9	40.1	34.7	5.6	56.7	24.2
5001300US1313	Georgia	13	GA	Rep. David Scott	D+16	Safe Dem	Solid Dem	Dem	GA-13	11	93.8	6.2	0.2	8	17.1	16.7	35.3	64.7	56.1	11.1	29	20.2
5001300US1314	Georgia	14	GA	Rep. Tom Graves	R+26	Safe Rep	Solid Rep	Rep	GA-14	5	59.7	40.3	0.5	22.5	12.3	15.2	85.9	14.1	8.7	10.6	78	24.3
5001300US1501	Hawaii	1	HI	OPEN (Hanabusa)	D+18	Safe Dem	Solid Dem	Dem	HI-01	11	99.7	0.3	0.5	3.2	31.6	6.7	18.6	81.4	2	8	16.9	28.7
5001300US1502	Hawaii	2	HI	Rep. Tulsi Gabbard	D+21	Safe Dem	Solid Dem	Dem	HI-02	11	84.1	15.9	2.9	3	26.7	10.4	31.2	68.8	1.7	10.9	28.6	27.6
5001300US1601	Idaho	1	ID	Rep. RaÂl Labrador	R+18	Safe Rep	Solid Rep	Rep	ID-01	5	69.8	30.2	4.6	9.9	14.2	11.7	92.8	7.2	0.5	10.4	84.7	26.7
5001300US1602	Idaho	2	ID	Rep. Mike Simpson	R+17	Safe Rep	Solid Rep	Rep	ID-02	5	71.3	28.7	6.6	9.3	14.5	11.7	90	10	0.6	12.9	82.1	23.8
5001300US1701	Illinois	1	IL	Rep. Bobby Rush	D+28	Safe Dem	Solid Dem	Dem	IL-01	11	99	1	0.3	7.4	19.5	16.7	40.6	59.4	52.2	8.9	36	26.3
5001300US1702	Illinois	2	IL	Rep. Robin Kelly	D+29	Safe Dem	Solid Dem	Dem	IL-02	11	94.7	5.3	0.5	9.7	15.3	18.2	37.9	62.1	55.3	13.3	29.6	25.9
5001300US1703	Illinois	3	IL	Rep. Daniel Lipinski	D+5	Safe Dem	Solid Dem	Dem	IL-03	11	99.6	0.4	0.3	12.4	24.7	9	77.3	22.7	4.5	29.2	60.7	25.7
5001300US1704	Illinois	4	IL	Rep. Luis Gutierrez	D+29	Safe Dem	Solid Dem	Dem	IL-04	11	100	0	0.5	17.1	13.9	18.9	61.6	38.4	4.6	70.6	21.3	16.5
5001300US1705	Illinois	5	IL	Rep. Mike Quigley	D+16	Safe Dem	Solid Dem	Dem	IL-05	11	100	0	0.1	8.9	31.9	7.7	80.8	19.2	2.7	20.6	68.5	23.1
5001300US1706	Illinois	6	IL	Rep. Peter Roskam	R+4	Safe Rep	Solid Rep	Rep	IL-06	5	99.4	0.6	0.2	13	44.7	4	85.5	14.5	2.9	8.9	79	27.5
5001300US1707	Illinois	7	IL	Rep. Danny Davis	D+36	Safe Dem	Solid Dem	Dem	IL-07	11	100	0	0.1	8.2	22.4	23.1	32.7	67.3	51.2	14.7	26.1	21.1
5001300US1708	Illinois	8	IL	Rep. Tammy Duckworth	D+8	Safe Dem	Likely Dem	Dem	IL-08	10	100	0	0.2	17	26.6	8	69.6	30.4	5.1	28.1	53.4	21.6
5001300US1709	Illinois	9	IL	Rep. Jan Schakowsky	D+15	Safe Dem	Solid Dem	Dem	IL-09	11	100	0	0.1	7.5	29.1	9.1	72.9	27.1	8.9	10.6	65	28.5
5001300US1710	Illinois	10	IL	Rep. Brad Schneider	D+8	At-risk Dem	Tossup Dem	Dem	IL-10	8	99.7	0.3	0.1	15.3	33.2	8.2	78.2	21.8	6.6	22.8	60.1	24.4
5001300US1711	Illinois	11	IL	Rep. Bill Foster	D+8	Safe Dem	Likely Dem	Dem	IL-11	10	99.7	0.3	0.3	12.8	27.5	8.3	66.4	33.6	10.7	26.8	53.6	21.2
5001300US1712	Illinois	12	IL	Rep. Bill Enyart	EVEN	At-risk Dem	Lean Dem	Dem	IL-12	9	75.4	24.6	1.6	10.6	14.7	13.4	79.3	20.7	16.5	2.9	77.1	27.7
5001300US1713	Illinois	13	IL	Rep. Rodney Davis	EVEN	At-risk Rep	Lean Rep	Rep	IL-13	3	78.9	21.1	1.7	9.8	16	11.6	82.3	17.7	11	3.3	79.8	27.1
5001300US1714	Illinois	14	IL	Rep. Randy Hultgren	R+5	Safe Rep	Solid Rep	Rep	IL-14	5	89.9	10.1	0.9	14.8	37.6	4.8	87.8	12.2	3.4	10.8	79.9	21.5
5001300US1715	Illinois	15	IL	Rep. John Shimkus	R+14	Safe Rep	Solid Rep	Rep	IL-15	5	48.6	51.4	4.6	15	15.2	10.1	92.6	7.4	4.5	2.4	90.8	29.5
5001300US1716	Illinois	16	IL	Rep. Adam Kinzinger	R+4	Safe Rep	Solid Rep	Rep	IL-16	5	70.9	29.1	2.7	18	19	9	90.3	9.7	3.9	8.5	84.8	28.3
5001300US1717	Illinois	17	IL	Rep. Cheri Bustos	D+7	At-risk Dem	Lean Dem	Dem	IL-17	9	73.3	26.7	2.5	17.6	12.8	13.4	82.6	17.4	11	8.5	77.3	30
5001300US1718	Illinois	18	IL	Rep. Aaron Schock	R+11	Safe Rep	Solid Rep	Rep	IL-18	5	63.7	36.3	2.8	12.7	23.5	6.7	91	9	3.9	2.6	89.3	29.1
5001300US1801	Indiana	1	IN	Rep. Pete Visclosky	D+10	Safe Dem	Solid Dem	Dem	IN-01	11	90.3	9.7	0.6	16.5	19	13.9	70	30	19.5	14.4	63.3	26.9
5001300US1802	Indiana	2	IN	Rep. Jackie Walorski	R+6	At-risk Rep	Lean Rep	Rep	IN-02	3	69.8	30.2	1.5	27.2	13.3	11.2	87	13	6.9	8.5	81.5	26.8
5001300US1803	Indiana	3	IN	Rep. Marlin Stutzman	R+13	Safe Rep	Solid Rep	Rep	IN-03	5	64.8	35.2	1.4	25.7	14.4	10.5	88	12	6.2	5.7	84.4	26.2
5001300US1804	Indiana	4	IN	Rep. Todd Rokita	R+11	Safe Rep	Solid Rep	Rep	IN-04	5	63.4	36.6	2	18.8	16.9	8.8	91.5	8.5	3.6	5.5	87	25.4
5001300US1805	Indiana	5	IN	Rep. Susan Brooks	R+9	Safe Rep	Solid Rep	Rep	IN-05	5	87.4	12.6	0.7	12.8	27.1	6.5	85.1	14.9	8.5	3.9	82.6	24.9
5001300US1806	Indiana	6	IN	Rep. Luke Messer	R+12	Safe Rep	Solid Rep	Rep	IN-06	5	54.7	45.3	1.8	22.7	12.2	11.6	93.3	6.7	2.2	2.1	92.4	28.5
5001300US1807	Indiana	7	IN	Rep. AndrÂ Carson	D+13	Safe Dem	Solid Dem	Dem	IN-07	11	99.3	0.7	0.3	11.1	10.7	19.3	59.8	40.2	28.5	10.8	55.7	21
5001300US1808	Indiana	8	IN	Rep. Larry Bucshon	R+8	Safe Rep	Solid Rep	Rep	IN-08	5	57.7	42.3	2.5	19	13.7	10.3	92.5	7.5	4	2.2	91.1	28.7
5001300US1809	Indiana	9	IN	Rep. Todd Young	R+9	Safe Rep	Solid Rep	Rep	IN-09	5	64.5	35.5	1.2	17.5	15.7	10.4	92.1	7.9	2.5	3.2	90.4	25.9
5001300US1901	Iowa	1	IA	OPEN (Braley)	D+5	Safe Dem	Likely Dem	Dem	IA-01	10	62.9	37.1	4.1	17.7	17.1	7.4	92.3	7.7	3.2	3.4	90.1	28.7
5001300US1902	Iowa	2	IA	Rep. Dave Loebsack	D+4	Safe Dem	Solid Dem	Dem	IA-02	11	63.3	36.7	2.9	17.6	17.3	9.5	91.4	8.6	3.7	5.1	87.5	28
5001300US1903	Iowa	3	IA	OPEN (Latham)	EVEN	At-risk Rep	Tossup Rep	Rep	IA-03	2	77.8	22.2	2.1	9.4	21.3	9.4	89.6	10.4	3.7	6.3	85.2	25.1
5001300US1904	Iowa	4	IA	Rep. Steve King	R+5	Safe Rep	Likely Rep	Rep	IA-04	4	52.1	47.9	7.1	16	14.3	8.9	93.4	6.6	1.3	6.1	89.3	30.4
5001300US2001	Kansas	1	KS	Rep. Tim Huelskamp	R+23	Safe Rep	Solid Rep	Rep	KS-01	5	59.2	40.8	8	12.3	13.2	8.6	88.7	11.3	3.3	14.7	78.3	26.4
5001300US2002	Kansas	2	KS	Rep. Lynn Jenkins	R+8	Safe Rep	Solid Rep	Rep	KS-02	5	62.8	37.2	2.3	11.8	15.4	10.9	87.9	12.1	4.1	6	83.5	27.6
5001300US2003	Kansas	3	KS	Rep. Kevin Yoder	R+6	Safe Rep	Solid Rep	Rep	KS-03	5	95	5	0.6	9	29.6	7.3	81.9	18.1	8.8	11.6	73.1	23.5
5001300US2004	Kansas	4	KS	Rep. Mike Pompeo	R+14	Safe Rep	Solid Rep	Rep	KS-04	5	79.8	20.2	2.5	18.2	16.2	10.7	83.7	16.3	7	11.4	74.9	25.8
5001300US2101	Kentucky	1	KY	Rep. Ed Whitfield	R+18	Safe Rep	Solid Rep	Rep	KY-01	5	36.9	63.1	5.1	17	10.2	15.7	89.8	10.2	6.7	2.5	87.9	29.6
5001300US2102	Kentucky	2	KY	Rep. Brett Guthrie	R+16	Safe Rep	Solid Rep	Rep	KY-02	5	49.8	50.2	2.3	17.6	13.9	13.6	89.5	10.5	5.7	2.9	87.9	26
5001300US2103	Kentucky	3	KY	Rep. John Yarmuth	D+4	Safe Dem	Solid Dem	Dem	KY-03	11	99.3	0.7	0.3	10.4	17	13.3	72.8	27.2	21.2	4.6	69.5	26.7
5001300US2104	Kentucky	4	KY	Rep. Thomas Massie	R+16	Safe Rep	Solid Rep	Rep	KY-04	5	68.2	31.8	1.2	13.6	20.6	11.2	92.7	7.3	3.4	3	90.9	25.3
5001300US2105	Kentucky	5	KY	Rep. Hal Rogers	R+25	Safe Rep	Solid Rep	Rep	KY-05	5	23.5	76.5	7.3	10.6	7.9	22.1	96.6	3.4	1.4	0.8	96.1	28.5
5001300US2106	Kentucky	6	KY	Rep. Andy Barr	R+9	Safe Rep	Likely Rep	Rep	KY-06	4	72.6	27.4	2.9	12.4	16.3	12.9	85.5	14.5	8.6	4.4	83	25.1
5001300US2201	Louisiana	1	LA	Rep. Steve Scalise	R+26	Safe Rep	Solid Rep	Rep	LA-01	5	86	14	3.5	7	21.5	10.3	79.5	20.5	13.4	7.8	73.3	27.1
5001300US2202	Louisiana	2	LA	Rep. Cedric Richmond	D+23	Safe Dem	Solid Dem	Dem	LA-02	11	94.6	5.4	1.8	7.5	12.4	22.5	32.2	67.8	61.8	6.2	28.8	23.9
5001300US2203	Louisiana	3	LA	Rep. Charles Boustany	R+19	Safe Rep	Solid Rep	Rep	LA-03	5	73.4	26.6	10.9	8.8	17.5	14.7	70.9	29.1	24.4	3.2	68.5	24.5
5001300US2204	Louisiana	4	LA	Rep. John Fleming	R+13	Safe Rep	Solid Rep	Rep	LA-04	5	58.7	41.3	6.1	7.1	15.3	16.2	61.3	38.7	34.2	3.5	59	26.3
5001300US2205	Louisiana	5	LA	Rep. Vance McAllister	R+15	Safe Rep	Solid Rep	Rep	LA-05	5	48.3	51.7	5.6	6.4	12.4	19.8	62.2	37.8	35.6	2	60.6	26.7
5001300US2206	Louisiana	6	LA	OPEN (Cassidy)	R+21	Safe Rep	Solid Rep	Rep	LA-06	5	78.1	21.9	2.8	9.8	22.7	10.7	71.1	28.9	24	4.3	68.2	23.4
