rank,prime,digits,year,type,
5758,469!-1,1051,1981,Factorial,
5682,872!+1,2188,1983,Factorial,
5189,2^132049-1,39751,1983,Mersenne,
5720,3229#+1,1368,1984,Primorial,
5711,4713*2^4713+1,1423,1984,Cullen,
5705,83*2^5318-1,1603,1984,Woodall,
5699,5795*2^5795+1,1749,1984,Cullen,
5691,4547#+1,1939,1984,Primorial,
5688,6611*2^6611+1,1994,1984,Cullen,
5686,4787#+1,2038,1984,Primorial,
5678,7755*2^7755-1,2339,1984,Woodall,
5663,S,2874,1984,Woodall,
5614,12379*2^12379-1,3731,1984,Woodall,
5607,1477!+1,4042,1984,Factorial,
5558,289*2^18502+1,5573,1984,other,
5760,R(1031),1031,1985,Repunit,
5139,2^216091-1,65050,1985,Mersenne,
5580,11549#+1,4951,1986,Primorial,
5583,7911*2^15823-1,4768,1987,Woodall,
5555,18885*2^18885-1,5690,1987,Woodall,
5549,13649#+1,5862,1987,Primorial,
5221,2^110503-1,33265,1988,Mersenne,
5754,(2^3539+1)/3,1065,1989,other,
5461,18523#+1,8002,1989,Primorial,
5738,U(5387),1126,1990,Fibonacci,
5732,546!-1,1260,1992,Factorial,
5698,4093#-1,1750,1992,Primorial,
5692,4297#-1,1844,1992,Primorial,
5689,4583#-1,1953,1992,Primorial,
5674,974!-1,2490,1992,Factorial,
5666,6569#-1,2811,1992,Primorial,
5557,13033#-1,5610,1992,Primorial,
5556,1963!-1,5614,1992,Factorial,
5508,15877#-1,6845,1992,Primorial,
5379,3507!-1,10912,1992,Factorial,
5054,2^756839-1,227832,1992,Mersenne,
5408,23801#+1,10273,1993,Primorial,
5405,24029#+1,10387,1993,Primorial,
5376,3610!-1,11277,1993,Factorial,
5046,2^859433-1,258716,1994,Mersenne,
5772,V(4787),1001,1995,Lucas,
5771,V(4793),1002,1995,Lucas,
5733,V(5851),1223,1995,Lucas,
5702,V(7741),1618,1995,Lucas,
5690,U(9311),1946,1995,Fibonacci,
5681,V(10691),2235,1995,Lucas,
5652,V(14449),3020,1995,Lucas,
5640,(2^10501+1)/3,3161,1996,other,
5615,(2^12391+1)/3,3730,1996,other,
2975,2^1257787-1,378632,1996,Mersenne,
1403,2^1398269-1,420921,1996,Mersenne,
5503,22971*2^22971-1,6920,1997,Woodall,
5502,23005*2^23005-1,6930,1997,Woodall,
5421,8073*2^32294+1,9726,1997,Cullen,
5419,32469*2^32469+1,9779,1997,Cullen,
5303,7457*2^59659+1,17964,1997,Cullen,
5252,90825*2^90825+1,27347,1997,Cullen,
5245,49363*2^98727-1,29725,1997,Woodall,
116,2^2976221-1,895932,1997,Mersenne,
5700,(2^5807+1)/3,1748,1998,other,
5630,(2^11279+1)/3,3395,1998,other,
5283,6380!+1,21507,1998,Factorial,
5272,6917!-1,23560,1998,Factorial,
5174,71509*2^143019-1,43058,1998,other,
5171,151023*2^151023-1,45468,1998,Woodall,
5133,262419*2^262419+1,79002,1998,Cullen,
5126,361275*2^361275+1,108761,1998,Cullen,
5118,481899*2^481899+1,145072,1998,Cullen,
106,2^3021377-1,909526,1998,Mersenne,
5301,42209#+1,18241,1999,Primorial,
22,2^6972593-1,2098960,1999,Mersenne,
5697,V(8467),1770,2000,Lucas,
5687,U(9677),2023,2000,other,
5641,2^10141+2^5071+1,3053,2000,other,
5590,2^14699+2^7350+1,4425,2000,other,
5441,2^27529-2^13765+1,8288,2000,other,
5334,2^49207-2^24604+1,14813,2000,other,
5275,2^77291+2^38646+1,23267,2000,other,
5259,2^85237+2^42619+1,25659,2000,other,
5231,2^106693+2^53347+1,32118,2000,other,
5164,2^160423-2^80212+1,48293,2000,other,
5142,2^203789+2^101895+1,61347,2000,other,
5141,145823#+1,63142,2000,Primorial,
5080,667071*2^667071-1,200815,2000,Woodall,
5669,V(12251),2561,2001,Lucas,
5659,U(14431),3016,2001,Fibonacci,
5567,U(25561),5342,2001,Fibonacci,
5522,U(30757),6428,2001,other,
5516,primV(39700),6621,2001,Lucas,
5513,primU(40295),6737,2001,other,
5501,primA(82975),6935,2001,other,
5480,V(35449),7409,2001,Lucas,
5478,U(35999),7523,2001,other,
5382,V(51169),10694,2001,Lucas,
5372,primV(57724),12063,2001,other,
5305,U(81839),17103,2001,Fibonacci,
5130,21480!-1,83727,2001,Factorial,
5125,2^364289-2^182145+1,109662,2001,other,
5111,366439#+1,158936,2001,Primorial,
5109,392113#+1,169966,2001,Primorial,
5040,3*2^916773+1,275977,2001,other,
1742,843832^65536+1,388384,2001,Generalized,
10,2^13466917-1,4053946,2001,Mersenne,
5755,-E(510),1062,2002,other,
5685,-E(886)/68689,2051,2002,other,
5676,E(1004)/(579851915*80533376783),2364,2002,other,
5675,E(1028)/(6415*56837916301577),2433,2002,other,
5667,-E(1078)/361898544439043,2578,2002,other,
5661,V(13963),2919,2002,Lucas,
5606,V(19469),4069,2002,other,
5230,1765199373*2^107520-1,32376,2002,Twin,
5229,1765199373*2^107520+1,32376,2002,Twin,
5217,60194061*2^114689-1,34533,2002,Twin,
5216,60194061*2^114689+1,34533,2002,Twin,
5163,33218925*2^169690-1,51090,2002,Twin,
5162,33218925*2^169690+1,51090,2002,Twin,
5127,26951!+1,107707,2002,Factorial,
5120,34790!-1,142891,2002,Factorial,
4974,141146^65536+1,337489,2002,Generalized,
4540,189590^65536+1,345887,2002,Generalized,
4411,69109*2^1157446+1,348431,2002,other,
4110,255694^65536+1,354401,2002,Generalized,
3929,291726^65536+1,358153,2002,Generalized,
3925,292550^65536+1,358233,2002,Generalized,
3349,440846^65536+1,369904,2002,Generalized,
3051,544118^65536+1,375895,2002,Generalized,
2895,671600^65536+1,381886,2002,Generalized,
2834,5*2^1282755+1,386149,2002,other,
1738,857678^65536+1,388847,2002,Generalized,
1668,1057476^65536+1,394807,2002,Generalized,
1637,5*2^1320487+1,397507,2002,other,
1619,1266062^65536+1,399931,2002,Generalized,
1606,1361846^65536+1,402007,2002,Generalized,
1593,54767*2^1337287+1,402569,2002,other,
1577,1478036^65536+1,404337,2002,Generalized,
5759,6179783529*2411#+1,1037,2003,other,
5619,642*Bern(1802)/15720728189,3641,2003,Irregular,
5612,2840178*Bern(1870)/85,3821,2003,Irregular,
5611,-2730*Bern(1884)/100983617849,3844,2003,Irregular,
5579,33957462*Bern(2370)/40685,5083,2003,Irregular,
5215,2540041185*2^114729-1,34547,2003,Sophie,
5214,2540041185*2^114730-1,34547,2003,other,
5124,9*2^461081+1,138801,2003,other,
5077,13*2^684560+1,206075,2003,other,
5052,7*2^804534+1,242190,2003,other,
3638,357868^65536+1,363969,2003,Generalized,
3034,549868^65536+1,376194,2003,Generalized,
2828,138847*2^1283793-1,386466,2003,other,
1678,1024390^65536+1,393902,2003,Generalized,
1600,1374038^65536+1,402260,2003,Generalized,
1574,1483076^65536+1,404434,2003,Generalized,
1561,1540550^65536+1,405516,2003,Generalized,
1157,2232007*2^1490605-1,448724,2003,other,
300,62722^131072+1,628808,2003,Generalized,
268,3*2^2145353+1,645817,2003,other,
237,130816^131072+1,670651,2003,Generalized,
186,3*2^2478785+1,746190,2003,other,
157,1176694^131072+1,795695,2003,Generalized,
153,1372930^131072+1,804474,2003,Generalized,
36,5359*2^5054502+1,1521561,2003,other,
9,2^20996011-1,6320430,2003,Mersenne,
5638,(2^10691+1)/3,3218,2004,other,
5637,V(15511)/394599841,3234,2004,Lucas,
5620,V(17029)/(9570299*495749440031),3541,2004,Lucas,
5609,U(19051)/44198321,3974,2004,other,
5595,(2^14479+1)/3,4359,2004,other,
5592,(2^14561-1)/8074991336582835391,4365,2004,other,
5475,-E(2762)/2670541,7760,2004,other,
5122,89*2^472099+1,142118,2004,other,
4725,504613*2^1136459-1,342114,2004,other,
4693,500621*2^1138518-1,342734,2004,other,
4663,209826493*2^1140855-1,343440,2004,other,
4615,350107*2^1144101-1,344415,2004,other,
4449,152713*2^1154707-1,347607,2004,other,
3985,71009*2^1185112-1,356760,2004,other,
3780,502541*2^1199930-1,361221,2004,other,
3760,3*2^1201046-1,361552,2004,other,
3295,3*2^1232255-1,370947,2004,other,
3178,21*2^1240067+1,373299,2004,other,
3020,80857169*2^1251076-1,376620,2004,other,
2962,25*2^1258562+1,378867,2004,Generalized,
1406,192089*2^1395688-1,420150,2004,other,
1129,13*2^1499876+1,451509,2004,other,
545,21*2^1830919+1,551163,2004,other,
182,572186^131072+1,754652,2004,Generalized,
154,1361244^131072+1,803988,2004,Generalized,
19,28433*2^7830457+1,2357207,2004,other,
8,2^24036583-1,7235733,2004,Mersenne,
5696,11628008104*4127#+1,1770,2005,other,
5677,953477584*5501#-1,2355,2005,other,
5602,primU(25115),4199,2005,other,
5541,3020255265*2^20023-1,6038,2005,Cunningham,
5540,3020255265*2^20024-1,6038,2005,other,
5539,3020255265*2^20025-1,6038,2005,other,
5525,U(30671)/1141737296775689,6395,2005,other,
5512,primV(48381),6741,2005,Lucas,
5484,V(34759)/27112021,7257,2005,Lucas,
5476,V(36779),7687,2005,Lucas,
5470,U(37511),7839,2005,Fibonacci,
5449,primV(39124),8176,2005,Lucas,
5424,V(44507),9302,2005,Lucas,
5401,primV(77841),10496,2005,Lucas,
5384,U(50833),10624,2005,Fibonacci,
5381,primV(77058),10729,2005,Lucas,
5277,(5855^6121-1)/5854,23058,2005,Generalized,
5200,7068555*2^121301-1,36523,2005,Sophie,
5199,7068555*2^121302-1,36523,2005,other,
5160,16869987339975*2^171960-1,51779,2005,Twin,
5159,16869987339975*2^171960+1,51779,2005,Twin,
5079,27*2^672007+1,202296,2005,other,
5045,11*2^886071+1,266735,2005,other,
5021,11*2^960901+1,289262,2005,other,
5016,2^991961-2^495981+1,298611,2005,other,
4479,29*2^1152765+1,347019,2005,other,
4300,27*2^1164664+1,350601,2005,other,
3848,1195203*2^1195203-1,359799,2005,Woodall,
3604,25*2^1211488+1,364696,2005,other,
1716,25*2^1298186+1,390795,2005,Generalized,
1575,11*2^1343347+1,404389,2005,other,
1535,338707*2^1354830+1,407850,2005,Cullen,
1510,1828502^65536+1,410393,2005,Generalized,
1504,241489*2^1365062+1,410930,2005,other,
1426,17*2^1388355+1,417938,2005,other,
1358,149797*2^1414137-1,425703,2005,other,
1337,21*2^1421741+1,427989,2005,other,
1205,325627*2^1472117-1,443157,2005,other,
1192,27*2^1476347+1,444427,2005,other,
1187,29*2^1478344-1,445028,2005,other,
1154,7*2^1491852+1,449094,2005,other,
1086,121*2^1526097-1,459404,2005,other,
1067,234847*2^1535589-1,462264,2005,other,
963,19502212^65536+1,477763,2005,Generalized,
957,121*2^1589157-1,478387,2005,other,
948,110413*2^1591999-1,479245,2005,other,
819,149183*2^1666957+1,501810,2005,other,
766,121*2^1695499-1,510399,2005,other,
631,5*2^1777515+1,535087,2005,other,
625,357659*2^1779748-1,535764,2005,other,
595,417643*2^1800787-1,542097,2005,other,
512,13*2^1861732+1,560439,2005,other,
495,345067*2^1876573-1,564911,2005,other,
370,467917*2^1993429-1,600088,2005,other,
224,3*2^2312734-1,696203,2005,other,
81,4847*2^3321063+1,999744,2005,other,
16,27653*2^9167433+1,2759677,2005,other,
7,2^25964951-1,7816230,2005,Mersenne,
6,2^30402457-1,9152052,2005,Mersenne,
5731,833000864*3011#+1,1290,2006,other,
5578,(2^17029-1)/418879343,5118,2006,other,
5467,164210699973*2^26326-1,7937,2006,Cunningham,
5466,164210699973*2^26327-1,7937,2006,other,
5465,164210699973*2^26328-1,7937,2006,other,
5373,V(56003),11704,2006,Lucas,
5228,112886032245*2^108000-1,32523,2006,Sophie,
5227,112886032245*2^108001-1,32523,2006,other,
5226,1124044292325*2^107999-1,32523,2006,Sophie,
5225,1124044292325*2^108000-1,32524,2006,other,
5197,(28839^8317-1)/28838,37090,2006,Generalized,
5158,100314512544015*2^171960-1,51780,2006,Twin,
5157,100314512544015*2^171960+1,51780,2006,Twin,
5156,137211941292195*2^171960-1,51780,2006,Sophie,
5153,137211941292195*2^171961-1,51780,2006,other,
5112,2*191^66971+1,152764,2006,other,
5103,2*191^83009+1,189347,2006,other,
5044,43*2^894766+1,269354,2006,Divides,
4964,177*2^1121720+1,337674,2006,other,
4856,64*3^712171+1,339794,2006,other,
4816,33*2^1130884+1,340432,2006,other,
3725,2^1203793-2^601897+1,362378,2006,other,
3331,15*2^1229600+1,370148,2006,other,
3248,43*2^1235298+1,371864,2006,other,
3116,15*2^1244377+1,374596,2006,other,
2939,11*2^1261478-1,379744,2006,other,
2856,15*2^1276177+1,384169,2006,other,
1520,35*2^1357881+1,408765,2006,other,
1486,15*2^1368428+1,411940,2006,other,
1347,15*2^1418605+1,427044,2006,other,
1217,77*2^1467554-1,441780,2006,other,
1010,139*2^1567874+1,471980,2006,other,
950,1179*2^1591362+1,479051,2006,other,
945,737*2^1592724-1,479461,2006,other,
940,58753*2^1594323-1,479944,2006,other,
928,15*2^1597510+1,480900,2006,other,
447,214519*2^1929114+1,580727,2006,other,
418,121*2^1954243-1,588288,2006,other,
375,17*2^1990299+1,599141,2006,other,
336,121*2^2033941-1,612280,2006,other,
255,196597*2^2178109-1,655682,2006,other,
249,114487*2^2198389-1,661787,2006,other,
245,19*2^2206266+1,664154,2006,other,
225,450457*2^2307905-1,694755,2006,other,
218,275293*2^2335007-1,702913,2006,other,
191,26773*2^2465343-1,742147,2006,other,
132,222361*2^2854840+1,859398,2006,other,
5,2^32582657-1,9808358,2006,Mersenne,
5603,primU(30687),4173,2007,other,
5599,primU(31209),4264,2007,other,
5598,primU(21053),4274,2007,other,
5591,primU(38181),4414,2007,other,
5589,primU(34593),4444,2007,other,
5585,primU(25493),4695,2007,other,
5375,primU(67825),11336,2007,other,
5366,(2^42737+1)/3,12865,2007,other,
5291,(14261^4663-1)/14260,19367,2007,Generalized,
5268,(13096^5953-1)/13095,24506,2007,Generalized,
5155,194772106074315*2^171960-1,51780,2007,Twin,
5154,194772106074315*2^171960+1,51780,2007,Twin,
5152,48047305725*2^172403-1,51910,2007,Sophie,
5151,48047305725*2^172404-1,51910,2007,other,
5146,2003663613*2^195000-1,58711,2007,Twin,
5145,2003663613*2^195000+1,58711,2007,Twin,
5115,243*2^495732+1,149233,2007,other,
5114,2*1931^45605+1,149849,2007,other,
5113,2*431^56947+1,150026,2007,other,
5107,151*2^585044+1,176118,2007,other,
5105,2*131^86365+1,182859,2007,other,
5100,2*419^76419+1,200388,2007,other,
4136,617*2^1175468-1,353854,2007,other,
3141,257708*5^535176-1,374078,2007,other,
3006,81*2^1254155+1,377541,2007,other,
2974,26869*2^1257787-1,378637,2007,other,
2891,1268979*2^1268979-1,382007,2007,Woodall,
1570,15*2^1344313-1,404680,2007,other,
1354,29*2^1416873+1,426523,2007,other,
1216,1467763*2^1467763-1,441847,2007,Woodall,
1047,81*2^1544545+1,464957,2007,other,
991,17629398^65536+1,474890,2007,Generalized,
990,17655444^65536+1,474932,2007,Generalized,
989,17684828^65536+1,474979,2007,Generalized,
913,81*2^1606848+1,483712,2007,Generalized,
843,469949*2^1649228-1,496473,2007,other,
816,15*2^1667744+1,502043,2007,other,
723,253*2^1722623-1,518564,2007,other,
541,3*2^1832496+1,551637,2007,other,
524,137*2^1849238-1,556679,2007,other,
371,137137*2^1993201-1,600019,2007,other,
350,251749*2^2013995-1,606279,2007,Woodall,
272,7*2^2139912+1,644179,2007,other,
259,7*2^2167800+1,652574,2007,other,
208,1183953*2^2367907-1,712818,2007,Woodall,
204,737*2^2382804-1,717299,2007,other,
159,342673*2^2639439-1,794556,2007,other,
96,3*2^3136255-1,944108,2007,other,
56,938237*2^3752950-1,1129757,2007,Woodall,
21,33661*2^7031232+1,2116617,2007,other,
11,19249*2^13018586+1,3918990,2007,other,
5532,5612052289*14489#/5-1,6223,2008,Triplet,
5531,5612052289*14489#/5+1,6223,2008,Triplet,
5530,5612052289*14489#/5+5,6223,2008,Triplet,
5506,1638535589*16001#/5+1,6913,2008,other,
5505,2399771561*16001#/5+1,6913,2008,other,
5504,2852851249*16001#/5+1,6913,2008,other,
5417,2072644824759*2^33333-1,10047,2008,Triplet,
5416,2072644824759*2^33333+1,10047,2008,Triplet,
5415,2072644824759*2^33333+5,10047,2008,Triplet,
5290,(9473^4969-1)/9472,19756,2008,Generalized,
5274,(23151^5347-1)/23150,23333,2008,Generalized,
5223,108615*2^110342-1,33222,2008,Twin,
5222,108615*2^110342+1,33222,2008,Twin,
5119,651*2^476632+1,143484,2008,other,
5065,2*683^73237+1,207585,2008,other,
5056,59*2^727815+1,219096,2008,other,
4887,63*2^1126551-1,339128,2008,other,
4647,31*2^1142093-1,343806,2008,other,
4344,55*2^1162155-1,349846,2008,other,
4317,27*2^1163629-1,350289,2008,other,
4216,21*2^1170083-1,352232,2008,other,
3862,5*2^1194164-1,359480,2008,other,
3492,177482*117^177482+1,367072,2008,Generalized,
3332,19581121*2^1229561-1,370143,2008,other,
3008,27*2^1253870-1,377454,2008,other,
2982,6201*2^1257068+1,378419,2008,other,
2980,49*2^1257295-1,378486,2008,other,
2971,2084259*2^1257787-1,378638,2008,other,
1737,99*2^1292395-1,389052,2008,other,
1604,81*2^1335675-1,402081,2008,other,
1499,1874512^65536+1,411101,2008,Generalized,
1455,2162068^65536+1,415162,2008,Generalized,
1453,2177038^65536+1,415359,2008,Generalized,
1421,113*2^1389674-1,418336,2008,other,
1400,1564347*2^1398269-1,420928,2008,other,
1395,127*2^1398889-1,421110,2008,other,
1323,113*2^1425998-1,429271,2008,other,
1295,19*2^1434165-1,431728,2008,other,
1260,23*2^1448461+1,436032,2008,other,
1250,21*2^1452771-1,437329,2008,other,
1177,9*2^1481821-1,446074,2008,other,
1095,19709699*2^1521540-1,458037,2008,other,
1000,29*2^1574753+1,474050,2008,other,
841,69*2^1649423-1,496528,2008,other,
832,61*2^1654383-1,498021,2008,other,
826,63*2^1659338-1,499513,2008,other,
783,19*2^1684813-1,507181,2008,other,
669,5077*2^1753317-1,527805,2008,other,
573,33*2^1813526-1,545928,2008,other,
534,15*2^1837873-1,553257,2008,other,
389,25*2^1977369-1,595249,2008,other,
324,9*2^2060941-1,620407,2008,other,
314,1003*2^2076535-1,625103,2008,other,
271,23*2^2141626-1,644696,2008,other,
248,5077*2^2198565-1,661838,2008,other,
228,3*2^2291610+1,689844,2008,other,
192,5*2^2460482-1,740680,2008,other,
125,7*2^2915954+1,877791,2008,other,
114,4348099*2^2976221-1,895939,2008,other,
107,7*2^3015762+1,907836,2008,other,
103,5*2^3059698-1,921062,2008,other,
91,113983*2^3201175-1,963655,2008,other,
80,3139*2^3321905-1,999997,2008,other,
66,7*2^3511774+1,1057151,2008,other,
60,485767*2^3609357-1,1086531,2008,other,
52,24518^262144+1,1150678,2008,Generalized,
47,3*2^4235414-1,1274988,2008,other,
38,265711*2^4858008+1,1462412,2008,other,
32,258317*2^5450519+1,1640776,2008,other,
4,2^37156667-1,11185272,2008,Mersenne,
2,2^43112609-1,12978189,2008,Mersenne,
5757,2968802755*2459#+1,1057,2009,other,
5724,1461401630*3109#+1,1328,2009,other,
5564,387977793*2^17866+1,5387,2009,other,
5550,55339803*2^19402+1,5849,2009,other,
5498,164084347*16229#+1,7009,2009,other,
5452,379185609*2^27127-1,8175,2009,Cunningham,
5451,379185609*2^27128-1,8175,2009,other,
5450,379185609*2^27129-1,8176,2009,other,
5406,6*Bern(4306)/2153,10342,2009,Irregular,
5273,(89^11971-1)/88,23335,2009,Generalized,
5255,(3429^7549-1)/3428,26684,2009,Generalized,
5250,primV(205011),28552,2009,Lucas,
5244,(11379^7411-1)/11378,30056,2009,Generalized,
5243,38588805195*2^100002-1,30115,2009,Sophie,
5242,38588805195*2^100003-1,30115,2009,other,
5212,307259241*2^115599-1,34808,2009,Twin,
5211,307259241*2^115599+1,34808,2009,Twin,
5196,33759183*2^123458-1,37173,2009,Sophie,
5195,33759183*2^123459-1,37173,2009,other,
5194,163221*2^124600+1,37514,2009,other,
5193,163221*2^124601+1,37514,2009,other,
5149,607095*2^176311-1,53081,2009,Sophie,
5148,607095*2^176312-1,53081,2009,other,
5137,620366307356565*2^253824-1,76424,2009,Sophie,
5136,648621027630345*2^253824-1,76424,2009,Sophie,
5135,620366307356565*2^253825-1,76424,2009,other,
5134,648621027630345*2^253825-1,76424,2009,other,
5129,65516468355*2^333333-1,100355,2009,Twin,
5128,65516468355*2^333333+1,100355,2009,Twin,
5123,3911*2^462579+1,139254,2009,other,
5121,6841*2^474348+1,142797,2009,other,
5117,9265*2^482072+1,145123,2009,other,
5110,2*1031^53111+1,160038,2009,other,
5108,519*2^567235+1,170758,2009,other,
5106,351*2^588325+1,177107,2009,Divides,
5104,659*2^617815+1,185984,2009,other,
5039,113*2^916801+1,275987,2009,other,
5023,143717*96^143717+1,284892,2009,Generalized,
5022,2*827^98511+1,287407,2009,other,
4897,842711*2^1126138-1,339008,2009,other,
4767,45*2^1134357+1,341478,2009,other,
4569,1001155863*2^1146800+1,345231,2009,other,
4212,59*2^1170231+1,352277,2009,other,
4092,55*2^1177924+1,354593,2009,other,
4034,21*2^1182083-1,355844,2009,other,
4007,78959*6^458114-1,356487,2009,other,
3882,105*2^1193072-1,359153,2009,other,
3501,122*18^292318+1,366941,2009,other,
3028,57023*6^483561-1,376289,2009,other,
1693,19581121*2^1303821-1,392497,2009,other,
1672,250107985*2^1310642+1,394551,2009,other,
1671,1001184681*2^1310640+1,394551,2009,other,
1533,299*2^1355004-1,407900,2009,other,
1513,107*2^1362654-1,410202,2009,other,
1478,73*2^1370742+1,412637,2009,other,
1451,2187182^65536+1,415491,2009,Generalized,
1375,105*2^1407665-1,423752,2009,other,
1343,9*2^1419855-1,427420,2009,other,
1229,99*2^1461496-1,439957,2009,other,
976,311*2^1581686-1,476138,2009,other,
949,99*2^1591984-1,479237,2009,other,
862,1000628481*2^1638320+1,493193,2009,other,
861,250171825*2^1638322+1,493193,2009,other,
860,125522417*2^1638323+1,493193,2009,other,
859,251048373*2^1638322+1,493193,2009,other,
852,81*2^1643428+1,494724,2009,Generalized,
834,68*23^365239+1,497358,2009,other,
675,1179*2^1750847+1,527061,2009,other,
470,27*2^1902689-1,572768,2009,other,
304,563528*13^563528-1,627745,2009,Generalized,
238,27*2^2218064+1,667706,2009,other,
215,127*2^2346377-1,706332,2009,other,
197,386892^131072+1,732377,2009,Generalized,
189,81*2^2468789+1,743182,2009,other,
61,5*2^3569154-1,1074424,2009,other,
34,3*2^5082306+1,1529928,2009,other,
27,1582137*2^6328550+1,1905090,2009,Cullen,
24,6679881*2^6679881+1,2010852,2009,Cullen,
3,2^42643801-1,12837064,2009,Mersenne,
5739,720128166480*2621#+1,1117,2010,other,
5723,1233917739*3121#+1,1335,2010,other,
5713,460226463*3301#+1,1402,2010,other,
5704,17758152104*3733#-1,1605,2010,other,
5703,20438086160*3733#-1,1605,2010,other,
5695,45912427272*4253#+1,1829,2010,other,
5694,113419228920*4253#+1,1829,2010,other,
5693,125848198864*4253#+1,1829,2010,other,
5683,5045589688*4933#+1,2106,2010,other,
5538,primU(43653),6082,2010,other,
5462,42989535*2^26545+1,7999,2010,other,
5456,173028555*2^26995+1,8135,2010,other,
5455,82659189*2^26999+1,8136,2010,other,
5404,914546877*2^34772-1,10477,2010,Cunningham,
5403,914546877*2^34773-1,10477,2010,other,
5402,914546877*2^34774-1,10477,2010,other,
5329,1008075799*34687#+1,15004,2010,other,
5280,(2008^6781-1)/2007,22393,2010,Generalized,
5265,6753^5122+5122^6753,25050,2010,ECPP,
5248,(13320^6997-1)/13319,28856,2010,Generalized,
5206,598899*2^118987-1,35825,2010,Twin,
5205,598899*2^118987+1,35825,2010,Twin,
5192,8151728061*2^125987-1,37936,2010,Twin,
5191,8151728061*2^125987+1,37936,2010,Twin,
5188,552903*2^136156+1,40993,2010,other,
5187,552903*2^136157+1,40994,2010,other,
5186,(1549^12973-1)/1548,41382,2010,Generalized,
5184,14962863771*2^140001-1,42155,2010,Sophie,
5183,23272426305*2^140001-1,42155,2010,Twin,
5182,23272426305*2^140001+1,42155,2010,Twin,
5181,12378188145*2^140002-1,42155,2010,Twin,
5180,12378188145*2^140002+1,42155,2010,Twin,
5179,14962863771*2^140002-1,42155,2010,other,
5178,31737014565*2^140003-1,42156,2010,Sophie,
5177,31737014565*2^140004-1,42156,2010,other,
5173,648309*2^148310+1,44652,2010,other,
5172,648309*2^148311+1,44652,2010,other,
5168,22835841624*7^54321-1,45917,2010,Twin,
5167,22835841624*7^54321+1,45917,2010,Twin,
5132,183027*2^265440-1,79911,2010,Sophie,
5131,183027*2^265441-1,79911,2010,other,
5099,1723856909355*2^666666-1,200699,2010,other,
5098,2137480008825*2^666666-1,200699,2010,other,
5097,516854064975*2^666669-1,200700,2010,other,
5096,7868502752535*2^666666-1,200700,2010,other,
5095,4087717805205*2^666667-1,200700,2010,other,
5057,2*83^113849+1,218486,2010,other,
5048,249*2^832207+1,250522,2010,Divides,
5025,873*2^922545+1,277717,2010,Divides,
5024,2*131^131925+1,279322,2010,other,
5018,6*10^293134-1,293135,2010,Near-repdigit,
5017,225*2^988695+1,297630,2010,Divides,
5015,139948*151^139948+1,304949,2010,Generalized,
5013,151*2^1016600+1,306030,2010,other,
5007,6*10^319889-1,319890,2010,Near-repdigit,
5004,93*2^1087202+1,327283,2010,other,
4989,87*2^1120006-1,337158,2010,other,
4922,61*2^1124049-1,338375,2010,other,
4907,51176*5^484669+1,338774,2010,other,
4886,76322*5^485176-1,339129,2010,other,
4833,163*2^1129934+1,340147,2010,other,
4683,48394*5^490575-1,342902,2010,other,
4631,443*2^1143154-1,344127,2010,other,
4576,8644*5^493618+1,345029,2010,other,
4450,83*2^1154617+1,347577,2010,other,
4412,113*2^1157413+1,348419,2010,other,
4410,117*2^1157460+1,348433,2010,other,
4408,301*2^1157561-1,348464,2010,other,
4392,57*2^1158942+1,348879,2010,other,
4363,339*2^1161347-1,349603,2010,other,
4206,227*2^1170724-1,352426,2010,other,
4185,37328*5^504675+1,352758,2010,other,
4133,65*2^1175747+1,353937,2010,other,
4131,345*2^1175842-1,353967,2010,other,
4042,57*2^1181438+1,355651,2010,other,
4014,201*2^1183137-1,356163,2010,other,
3884,8*202^155771-1,359108,2010,other,
3883,83*2^1192950-1,359116,2010,other,
3838,53542*5^515155-1,360083,2010,other,
3713,269*2^1204740-1,362666,2010,other,
3688,69*2^1206353+1,363151,2010,other,
3685,183916*5^519597-1,363188,2010,other,
3633,333*2^1209174-1,364001,2010,other,
3613,9*10^364521-1,364522,2010,Near-repdigit,
3550,843301#-1,365851,2010,Primorial,
3473,128552*5^525537+1,367340,2010,other,
3415,8331405*2^1224804-1,368710,2010,other,
3393,287*2^1226144-1,369109,2010,other,
3350,349*2^1228715-1,369883,2010,other,
3299,51*2^1231665-1,370770,2010,other,
3181,8579*10^373260-1,373264,2010,other,
3123,169*2^1243903-1,374455,2010,other,
3059,391*2^1247959-1,375676,2010,other,
2888,251*2^1269198-1,382070,2010,other,
2857,205*2^1275889-1,384084,2010,other,
2851,349*2^1278551-1,384885,2010,other,
2845,2*101^192275+1,385382,2010,other,
2842,105782*5^551766-1,385673,2010,other,
1734,399*2^1293056-1,389252,2010,other,
1720,3938*5^558032-1,390052,2010,other,
1717,8331405*2^1297878-1,390708,2010,other,
1712,151026*5^559670-1,391198,2010,other,
1707,205*2^1300401-1,391463,2010,other,
1706,219259*2^1300450+1,391480,2010,other,
1689,154801*2^1305084+1,392875,2010,other,
1652,250463*2^1316921+1,396439,2010,other,
1626,19*2^1325245-1,398940,2010,other,
1614,8331405*2^1331801-1,400919,2010,other,
1563,1087*2^1346917-1,405466,2010,other,
1539,8331405*2^1353931-1,407581,2010,other,
1517,51*2^1358372+1,408913,2010,other,
1502,45*2^1365167+1,410958,2010,other,
1492,51017*6^528803-1,411494,2010,other,
