Letter	Upper	French	German	Spanish	Portuguese	Esperanto	Italian	Turkish	Swedish	Polish	Dutch	Danish	Icelandic	Finnish
s	S	7.95	7.27	7.98	7.81	6.09	4.98	2.95	6.59	6.22	5.73	5.81	5.63	7.86
t	T	7.24	6.15	4.63	4.74	5.28	5.62	3.05	7.69	2.48	6.92	6.86	4.95	8.75
u	U	6.31	4.35	3.93	4.63	3.18	3.01	3.43	1.92	2.06	2.19	1.98	4.56	5.01
v	V	1.63	0.85	1.14	1.67	1.9	2.1	0.98	2.42	0	1.85	2.33	2.44	2.25
w	W	0.07	1.92	0.02	0.04	0	0.03	0.02	0.14	6.31	1.82	0.07	0	0.09
x	X	0.43	0.03	0.22	0.25	0	0	0.01	0.16	0	0.04	0.03	0.05	0.03
y	Y	0.13	0.04	1.01	0.01	0	0.02	3.37	0.71	3.21	0.04	0.7	0.9	1.75
z	Z	0.33	1.13	0.52	0.47	0.49	1.18	1.5	0.07	5.85	1.37	0.03	0	0.05
ß	ß	0	0.31	0	0	0	0	0	0	0	0	0	0	0
à	À	0.49	0	0	0.07	0	0.64	0	0	0	0	0	0	0
á	Á	0	0	0.5	0.12	0	0	0	0	0	0	0	1.8	0
â	Â	0.05	0	0	0.56	0	0	0	0	0	0	0	0	0
ã	Ã	0	0	0	0.73	0	0	0	0	0	0	0	0	0
ä	Ä	0	0.45	0	0	0	0	0	1.8	0	0	0	0	3.58
å	Å	0	0	0	0	0	0	0	1.34	0	0	1.19	0	0
æ	Æ	0	0	0	0	0	0	0	0	0	0	0.87	0.87	0
ç	Ç	0.09	0	0	0.53	0	0	0.83	0	0	0	0	0	0
è	È	0.27	0	0	0	0	0.26	0	0	0	0	0	0	0
é	É	1.5	0	0.43	0.34	0	0	0	0	0	0	0	0.65	0
ê	Ê	0.23	0	0	0.45	0	0	0	0	0	0	0	0	0
ë	Ë	0	0	0	0	0	0	0	0	0	0	0	0	0
ì	Ì	0	0	0	0	0	0.03	0	0	0	0	0	0	0
í	Í	0	0	0.73	0.13	0	0	0	0	0	0	0	1.57	0
î	Î	0.05	0	0	0	0	0	0	0	0	0	0	0	0
ï	Ï	0.01	0	0	0	0	0	0	0	0	0	0	0	0
ð	Ð	0	0	0	0	0	0	0	0	0	0	0	4.39	0
ñ	Ñ	0	0	0.31	0	0	0	0	0	0	0	0	0	0
ò	Ò	0	0	0	0	0	0	0	0	0	0	0	0	0
ó	Ó	0	0	0.83	0.3	0	0	0	0	1.14	0	0	0.99	0
